query,llama3.1,llama3,mistral,mistral-nemo,phi3,gemma2,zephyr,qwen2,llava,codellama,codegemma,codeqwen,dolphincoder,sqlcoder,deepseek-coder-v2,stable-code,starcoder2,wizardcoder
How many albums are there?,,"[(347,)]","[(347,)]","[(347,)]","[(347,)]",,"[(21, 'Iron Maiden')]",,"[(347,)]","[(347,)]",,"[(347,)]",,"[(347,)]",,,,
How many distinct genres are there?,"[(25,)]","[(25,)]","[(25,)]","[(25,)]","[(25,)]","[(25,)]",,,,"[('Heavy Metal',), ('TV Shows',), ('Latin',), ('Electronica/Dance',), ('R&B/Soul',), ('Opera',), ('Comedy',), ('Classical',), ('Pop',), ('Easy Listening',), ('Alternative',), ('Drama',), ('Sci Fi & Fantasy',), ('Rock',), ('World',), ('Reggae',), ('Blues',), ('Rock And Roll',), ('Alternative & Punk',), ('Metal',), ('Soundtrack',), ('Bossa Nova',), ('Science Fiction',), ('Hip Hop/Rap',), ('Jazz',)]","[(25,)]","[(25,)]",,"[(25,)]",,,,
How many tracks are in the 'Rock' genre?,,"[(1297,)]","[(1297,)]","[(1297,)]","[(1297,)]","[(1297,)]","[(1297,)]",,,"[(1297,)]",,"[(1297,)]",,,,,,"[(1297,)]"
What is the total number of invoice lines?,"[(2240,)]","[(2240,)]","[(2240,)]","[(2240,)]","[(2240,)]","[(2240,)]",,,,"[(2240,)]",,,"[(2240,)]","[(2240,)]",,,,
How many customers are from the USA?,"[(13,)]","[(0,)]","[(13,)]","[(13,)]","[(13,)]","[(13,)]","[(13,)]",,,"[(13,)]","[(13,)]","[(13,)]",,"[(13,)]",,,,
What is the highest employee ID?,"[(8,)]","[(8,)]","[(8,)]",,"[(8,)]","[(8,)]",,,,"[(8,)]","[(8,)]","[(8,)]",,"[(8,)]",,,,"[(8,)]"
How many tracks have a length greater than 5 minutes (300000 milliseconds)?,,"[(1069,)]","[(1069,)]","[(1069,)]","[(1069,)]","[(1069,)]",,,,"[(1069,)]",,"[(1069,)]","[(1069,)]","[(8, 7), (54, 7), (4, 7), (34, 7), (51, 7), (52, 7), (10, 7), (35, 7), (45, 7), (6, 7), (39, 7), (36, 7), (31, 7), (50, 7), (14, 7), (22, 7), (29, 7), (13, 7), (2, 7), (16, 7), (11, 7), (44, 7), (42, 7), (41, 7), (46, 7), (40, 7), (43, 7), (32, 7), (53, 7), (7, 7), (9, 7), (38, 7), (15, 7), (26, 7), (12, 7), (48, 7), (24, 7), (57, 7), (19, 7), (25, 7), (30, 7), (21, 7), (49, 7), (47, 7), (3, 7), (17, 7), (20, 7), (28, 7), (37, 7), (33, 7), (1, 7), (5, 7), (18, 7), (55, 7), (27, 7), (23, 7), (56, 7), (58, 7), (59, 6)]",,,,"[(3495,)]"
What is the total number of bytes for all tracks?,"[(117386255350,)]","[(117386255350,)]","[(117386255350,)]","[(117386255350,)]","[(3503,)]","[(117386255350,)]",,,"[(117386255350,)]","[(117386255350,)]",,,,"[(117386255350,)]",,,,"[(117386255350,)]"
How many customers have a company name specified?,"[(10,)]","[(10,)]","[(59,)]","[(10,)]","[(10,)]","[(10,)]",,,,"[(10,)]","[(10,)]","[(10,)]",,"[(10,)]",,,,"[(1, 'Apple Inc.'), (1, 'Telus'), (1, 'Embraer - Empresa Brasileira de Aeronáutica S.A.'), (1, 'Banco do Brasil S.A.'), (1, 'Woodstock Discos'), (1, 'Rogers Canada'), (1, 'Google Inc.'), (1, 'JetBrains s.r.o.'), (1, 'Microsoft Corporation'), (1, 'Riotur')]"
How many tracks cost more than $1?,,"[(213,)]",,"[(213,)]","[(213,)]","[(213,)]","[(213,)]",,,"[(213,)]",,,"[(213,)]","[(213,)]",,,,"[(213,)]"
What is the total number of seconds for all tracks?,"[(1378778040,)]","[(1377036,)]","[(1378778040,)]","[(1378778040,)]","[(1377036,)]","[(1378778040,)]","[(1378778,)]",,"[(1378778040,)]","[(1378778040,)]","[(1377036,)]",,,,,,,"[(1378778040,)]"
How many invoices were created in 2021?,,"[(83,)]","[(83,)]","[(83,)]","[(83,)]","[(83,)]","[(83,)]",,,"[(83,)]",,,"[(83,)]",,,,,"[(83,)]"
What is the number of customers who have made purchases totaling over $40?,,,,"[(0,)]",,"[(0,)]","[(3495,)]",,,"[(0,)]","[(7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,), (7,)]",,,"[(0,)]",,,,
How many artists have more than 10 albums?,"[(14,), (11,), (21,)]","[(1,), (1,), (1,)]",,"[(3,)]","[(1,), (1,), (1,)]",,,,,"[(14,), (11,), (21,)]",,,,,,,,"[(3,)]"
What is the total number of tracks in playlists that have 'Rock' in their name?,"[(0,)]","[(0,)]","[(0,)]","[(0,)]",,"[(0,)]","[('Iron Maiden', 140)]",,,,,"[(3274,)]","[(0,)]",,,,,"[(0,)]"
How many customers have made purchases in all years the store has been operating?,"[(59,)]",,"[(0,)]","[(59,)]",,"[(59,)]",,,,"[(298,)]",,"[(59,)]",,,,,,
What is the number of customers who have purchased tracks from all genres?,"[(59,)]","[(59,)]",[],"[(0,)]",,,,,,,"[(59,)]",,"[(59,)]","[(59,), (32,), (55,), (50,), (4,), (23,), (56,), (12,), (13,), (9,), (7,), (4,), (5,), (17,), (7,), (9,), (9,), (4,), (19,), (10,), (14,), (4,), (4,), (14,)]",,,,
